iter	RMSE
0	0.1386566972
1	0.1351449962
2	0.1318016894
3	0.1285453671
4	0.1253815347
5	0.122352095
6	0.1194122642
7	0.1165983655
8	0.1138591352
9	0.1112391897
10	0.1087082845
11	0.1062858717
12	0.1038569518
13	0.1015916886
14	0.09935342651
15	0.09721698049
16	0.09518227205
17	0.09321716517
18	0.09128183671
19	0.08942171763
20	0.08765691664
21	0.08594641465
22	0.08425909103
23	0.08263839494
24	0.08110819695
25	0.07963998775
26	0.0781711616
27	0.07679692134
28	0.07543846451
29	0.07416517911
30	0.07293228999
31	0.07177365803
32	0.07065573257
33	0.06957541135
34	0.06851885395
35	0.06750709656
36	0.0665287321
37	0.06557258605
38	0.06464936438
39	0.06380177886
40	0.0629724496
41	0.06218438094
42	0.06143380365
43	0.06069904224
44	0.06002115154
45	0.05936457498
46	0.05874634723
47	0.0580745691
48	0.05747966094
49	0.05691002782
50	0.05638316339
51	0.05579053671
52	0.05531185097
53	0.05484792622
54	0.05442193926
55	0.05396566848
56	0.05353519742
57	0.05313241467
58	0.05275611341
59	0.05238496168
60	0.05203426253
61	0.05168562076
62	0.05136674523
63	0.05104668287
64	0.05075517796
65	0.05045702982
66	0.05019106208
67	0.04994749976
68	0.04965395981
69	0.04943144122
70	0.04917905044
71	0.04890821667
72	0.04868357515
73	0.04846079459
74	0.04823807389
75	0.04804667679
76	0.0478782356
77	0.04766033572
78	0.04748998336
79	0.04731282192
80	0.04715810876
81	0.04701974691
82	0.04686257741
83	0.04672517223
84	0.04659411637
85	0.04645828943
86	0.04633244497
87	0.04621043021
88	0.04610809805
89	0.04597998137
90	0.04587491466
91	0.04576208053
92	0.0456395206
93	0.04555120699
94	0.04543085976
95	0.04532791367
96	0.04522939537
97	0.04514299635
98	0.04507203787
99	0.04500750039
100	0.0449460908
101	0.04485702499
102	0.04476658649
103	0.04468217772
104	0.04450831877
105	0.0444214584
106	0.04427630707
107	0.04415337271
108	0.04403837415
109	0.04396663592
110	0.0439192392
111	0.04381977297
112	0.04377098227
113	0.04372257415
114	0.04368045868
115	0.04364193358
116	0.04358306999
117	0.04352079047
118	0.04346123907
119	0.04339840841
120	0.04332143757
121	0.04327554221
122	0.04323538191
123	0.04318313039
124	0.04315584496
125	0.04309873246
126	0.04306065812
127	0.04303651595
128	0.04300197791
129	0.0429362329
130	0.04290238353
131	0.04286999217
132	0.04282660836
133	0.04278481862
134	0.04275684355
135	0.0427348786
136	0.04267059416
137	0.04264820485
138	0.04263053458
139	0.04259203696
140	0.04255328628
141	0.04251875573
142	0.04248337615
143	0.04244720574
144	0.04241968691
145	0.04240316415
146	0.0423695205
147	0.0423494403
148	0.04227137314
149	0.04224720572
150	0.04221155548
151	0.0421942722
152	0.04216064143
153	0.04214021591
154	0.04211638827
155	0.04207881956
156	0.04205258258
157	0.04203397878
158	0.04200674555
159	0.04199080337
160	0.04196289366
161	0.04193508979
162	0.04191601018
163	0.04188344752
164	0.04185950945
165	0.04182997595
166	0.04181728551
167	0.0418017942
168	0.04177517545
169	0.04175023654
170	0.04172780282
171	0.04170687974
172	0.04167931054
173	0.04166002409
174	0.04163916471
175	0.0416050039
176	0.04158558113
177	0.04155450287
178	0.04152613518
179	0.04150283101
180	0.04148129521
181	0.04145737884
182	0.04143872157
183	0.04142322494
184	0.04141618266
185	0.04140341916
186	0.04138661676
187	0.04137259667
188	0.04135452952
189	0.04132678884
190	0.04131256022
191	0.04129776024
192	0.04127661235
193	0.04125771191
194	0.04123618982
195	0.04118850495
196	0.04117916826
197	0.04117248947
198	0.04115142193
199	0.04113240503
200	0.04111570397
201	0.0410716357
202	0.04105903383
203	0.04104561024
204	0.04100036455
205	0.04098472596
206	0.04096720909
207	0.04093428323
208	0.04091825877
209	0.04089162553
210	0.04086832571
211	0.04084182767
212	0.04082812603
213	0.04080671991
214	0.04079413285
215	0.04077908358
216	0.04077157636
217	0.04075257242
218	0.04074779575
219	0.04073758573
220	0.04071577848
221	0.04069220537
222	0.04067684762
223	0.04064834878
224	0.04063075351
225	0.04061907424
226	0.04060278288
227	0.0405866006
228	0.0405738353
229	0.04049235188
230	0.0404743636
231	0.04045086091
232	0.04044058476
233	0.04042308587
234	0.04041014055
235	0.04040003124
236	0.04038979719
237	0.04037503068
238	0.04036403189
239	0.04035672926
240	0.04034082937
241	0.04033027486
242	0.04031497208
243	0.04030311706
244	0.04029750823
245	0.04027201137
246	0.04026045169
247	0.04025008665
248	0.04024442758
249	0.04023250822
